,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
,,090,"Bajo Rio Conchos, Chih.",  102 ,  102 ,"  4,8 ",  491 ,  12.400 ,  6.088.896 
Total Algodón,,,,  46.531 ,  46.531 ,"  3,9 ",  179.665 ,  10.994 ,  1.975.310.158 
Apio,,011,"Alto Rio Lerma, Gto.",  10 ,  10 ,"  20,0 ",  200 ,  3.200 ,  640.000 
,,014,"Rio Colorado, BC.",  199 ,  199 ,"  32,1 ",  6.405 ,  11.874 ,  76.052.753 
,,038,"Rio Mayo, Son.",  92 ,  92 ,"  68,4 ",  6.294 ,  8.904 ,  56.039.283 
,,041,"Rio Yaqui, Son.",  277 ,  277 ,"  52,0 ",  14.392 ,  6.786 ,  97.664.383 
,,066,"Sto. Domingo, Bcs.",  12 ,  12 ,"  40,5 ",  486 ,  20.000 ,  9.720.000 
Total Apio,,,,  590 ,  590 ,"  47,1 ",  27.777 ,  8.645 ,  240.116.419 
Arándano,,061,"Zamora, Mich.",  130 ,  130 ,"  10,1 ",  1.310 ,  103.323 ,  135.394.407 
,,075,"Rio Fuerte, Sin.",  187 ,  187 ,"  17,4 ",  3.246 ,  320.092 ,  1.038.985.059 
Total Arándano,,,,  317 ,  317 ,"  14,4 ",  4.556 ,  257.749 ,  1.174.379.466 
Arróz,,013,"Edo. De Jalisco, Jal.",  298 ,  298 ,"  7,0 ",  2.086 ,  4.145 ,  8.646.470 
,,016,"Edo.De Morelos, Mor.",  710 ,  710 ,"  12,5 ",  8.875 ,  6.300 ,  55.912.500 
,,035,"La Antigua, Ver.",  26 ,  26 ,"  5,0 ",  131 ,  29.989 ,  3.936.010 
,,043,"Edo. De Nayarit, Nay.",  12.906 ,  12.906 ,"  8,9 ",  114.907 ,  5.928 ,  681.150.210 
,,053,"Edo. De Colima, Col.",  859 ,  859 ,"  7,7 ",  6.621 ,  4.676 ,  30.963.040 
,,082,"Rio Blanco, Ver.",  399 ,  399 ,"  9,6 ",  3.814 ,  5.800 ,  22.122.824 
,,092A,"Rio Panuco, Unidad Animas.",  1.458 ,  1.458 ,"  6,5 ",  9.447 ,  5.373 ,  50.755.461 
,,093,"Tomatlan, Jal.",  1.473 ,  1.467 ,"  6,2 ",  9.127 ,  4.560 ,  41.616.840 
,,097,"Lazaro Cardenas, Mich.",  1.880 ,  1.880 ,"  8,4 ",  15.759 ,  4.360 ,  68.713.450 
Total Arróz,,,,  20.009 ,  20.003 ,"  8,5 ",  170.766 ,  5.644 ,  963.816.805 
Avena,,011,"Alto Rio Lerma, Gto.",  33 ,  33 ,"  8,0 ",  260 ,  8.850 ,  2.305.248 
,,034,"Edo. De Zacatecas, Zac.",  442 ,  442 ,"  4,0 ",  1.768 ,  7.000 ,  12.373.200 
,,042,"Buenaventura, Chih.",  146 ,  146 ,"  4,0 ",  582 ,  5.500 ,  3.201.000 
,,052,"Edo. De Durango, Dgo.",  258 ,  258 ,"  3,1 ",  796 ,  6.187 ,  4.924.212 
,,085,"La Begoña, Gto.",  22 ,  22 ,"  7,1 ",  156 ,  3.185 ,  495.200 
Total Avena,,,,  900 ,  900 ,"  4,0 ",  3.561 ,  6.542 ,  23.298.860 
Avena Forrajera,Verde,001,"Pabellón, Ags.",  790 ,  790 ,"  33,6 ",  26.546 ,  620 ,  16.458.644 
,,003,"Tula, Hgo.",  5.946 ,  5.946 ,"  25,0 ",  148.650 ,  490 ,  72.838.500 
,,004,"Don Martín, N.L.",  354 ,  354 ,"  23,7 ",  8.399 ,  1.665 ,  13.984.688 
,,006,"Palestina, Coah.",  487 ,  487 ,"  23,2 ",  11.287 ,  645 ,  7.279.986 
,,009,"Cd. Juarez, Chih.",  123 ,  123 ,"  33,0 ",  4.059 ,  650 ,  2.638.350 
,,011,"Alto Rio Lerma, Gto.",  465 ,  465 ,"  11,2 ",  5.186 ,  1.643 ,  8.520.512 
,,013,"Edo. De Jalisco, Jal.",  862 ,  862 ,"  25,9 ",  22.367 ,  807 ,  18.047.049 
,,014,"Rio Colorado, BC.",  5.630 ,  5.630 ,"  37,3 ",  210.017 ,  453 ,  95.179.830 
,,020,"Morelia, Mich.",  1.875 ,  1.875 ,"  13,4 ",  25.199 ,  948 ,  23.879.325 
,,023,"San Juan Del Rio, Qro.",  412 ,  412 ,"  56,2 ",  23.147 ,  672 ,  15.563.338 
,,028,"Tulancingo, Hgo.",  16 ,  16 ,"  22,5 ",  360 ,  533 ,  191.880 
,,034,"Edo. De Zacatecas, Zac.",  1.466 ,  1.436 ,"  10,2 ",  14.666 ,  3.652 ,  53.564.847 
,,037,"Altar Pitiquito, Son.",  87 ,  87 ,"  16,5 ",  1.432 ,  1.044 ,  1.495.222 
,,038,"Rio Mayo, Son.",  15 ,  15 ,"  9,2 ",  136 ,  835 ,  113.556 
,,041,"Rio Yaqui, Son.",  39 ,  39 ,"  29,0 ",  1.143 ,  900 ,  1.028.862 
,,045,"Tuxpan, Mich.",  1.979 ,  1.979 ,"  15,0 ",  29.685 ,  1.300 ,  38.590.500 
,,049,"Rio Verde, S.L.P.",  42 ,  42 ,"  8,0 ",  336 ,  4.000 ,  1.344.000 
,,052,"Edo. De Durango, Dgo.",  778 ,  778 ,"  21,1 ",  16.406 ,  2.706 ,  44.388.416 
,,056,"Atoyac-Zahuapan, Tlax.",  223 ,  223 ,"  38,0 ",  8.474 ,  410 ,  3.474.340 
,,066,"Sto. Domingo, Bcs.",  10 ,  10 ,"  67,0 ",  670 ,  580 ,  388.600 
,,073,"La Concepcion, Mex.",  15 ,  15 ,"  30,0 ",  450 ,  380 ,  171.000 
,,083,"Papigochic, Chih.",  133 ,  133 ,"  21,3 ",  2.839 ,  633 ,  1.797.469 
,,085,"La Begoña, Gto.",  4 ,  4 ,"  10,0 ",  44 ,  1.700 ,  74.630 
,,088,"Chiconautla, Mex.",  485 ,  485 ,"  30,0 ",  14.550 ,  360 ,  5.238.000 
,,089,"El Carmen, Chih.",  81 ,  81 ,"  25,0 ",  2.025 ,  817 ,  1.655.093 
,,090,"Bajo Rio Conchos, Chih.",  423 ,  423 ,"  31,0 ",  13.125 ,  617 ,  8.101.935 
,,100,"Alfajayucan, Hgo.",  1.854 ,  1.854 ,"  19,6 ",  36.275 ,  472 ,  17.103.981 
,,103,"Rio Florido, Chih.",  177 ,  177 ,"  44,0 ",  7.771 ,  650 ,  5.051.046 
,,112,"Ajacuba, Hgo.",  966 ,  966 ,"  25,0 ",  24.150 ,  490 ,  11.833.500 
Total Avena Forrajera,,,,  25.738 ,  25.708 ,"  25,6 ",  659.395 ,  713 ,  469.997.100 
Berenjena,,010,"Culiacan-Humaya, Sin.",  908 ,  908 ,"  93,0 ",  84.453 ,  11.544 ,  974.900.990 
,,051,"Costa De Hermosillo, Son.",  12 ,  12 ,"  19,0 ",  234 ,  10.200 ,  2.389.262 
Total Berenjena,,,,  920 ,  920 ,"  92,0 ",  84.687 ,  11.540 ,  977.290.253 
Bermuda (Zacate),Verde,003,"Tula, Hgo.",  295 ,  295 ,"  110,0 ",  32.450 ,  350 ,  11.357.500 
,,006,"Palestina, Coah.",  117 ,  117 ,"  33,7 ",  3.944 ,  520 ,  2.050.916 
,,014,"Rio Colorado, BC.",  3.376 ,  3.376 ,"  27,4 ",  92.626 ,  565 ,  52.351.027 
,,037,"Altar Pitiquito, Son.",  106 ,  106 ,"  23,5 ",  2.495 ,  875 ,  2.183.335 
,,060,"El Higo, Ver.",  240 ,  240 ,"  19,0 ",  4.560 ,  101 ,  460.560 
,,066,"Sto. Domingo, Bcs.",  226 ,  226 ,"  8,2 ",  1.853 ,  1.850 ,  3.428.420 
,,098,"Jose Maria Morelos, Mich.",  150 ,  150 ,"  45,0 ",  6.750 ,  1.000 ,  6.750.000 
,,101,"Cuxtepeques, Chis.",  110 ,  110 ,"  58,0 ",  6.380 ,  1.000 ,  6.380.000 
,,112,"Ajacuba, Hgo.",  26 ,  26 ,"  110,0 ",  2.860 ,  350 ,  1.001.000 
Total Bermuda (Zacate),,,,  4.646 ,  4.646 ,"  33,1 ",  153.918 ,  558 ,  85.962.758 
