,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
Ejote,,008,"Meztitlan, Hgo.",  594 ,  594 ,"  16,0 ",  9.510 ,  13.029 ,  123.906.496 
,,010,"Culiacan-Humaya, Sin.",  452 ,  452 ,"  15,8 ",  7.145 ,  14.000 ,  100.026.640 
,,013,"Edo. De Jalisco, Jal.",  46 ,  46 ,"  6,5 ",  297 ,  2.950 ,  876.593 
,,016,"Edo.De Morelos, Mor.",  535 ,  535 ,"  11,0 ",  5.885 ,  15.000 ,  88.275.000 
,,041,"Rio Yaqui, Son.",  171 ,  171 ,"  8,0 ",  1.368 ,  7.332 ,  10.030.176 
,,045,"Tuxpan, Mich.",  8 ,  8 ,"  15,0 ",  120 ,  4.000 ,  480.000 
,,063,"Guasave, Sin.",  707 ,  707 ,"  19,7 ",  13.913 ,  14.000 ,  194.787.880 
,,075,"Rio Fuerte, Sin.",  242 ,  242 ,"  11,1 ",  2.695 ,  23.000 ,  61.991.109 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  50 ,  50 ,"  4,5 ",  225 ,  15.000 ,  3.375.000 
Total Ejote,,,,  2.806 ,  2.806 ,"  14,7 ",  41.159 ,  14.183 ,  583.748.893 
Espárrago,,001,"Pabellón, Ags.",  243 ,  243 ,"  5,3 ",  1.290 ,  49.429 ,  63.779.760 
,,011,"Alto Rio Lerma, Gto.",  4.165 ,  4.165 ,"  4,7 ",  19.408 ,  51.037 ,  990.500.613 
,,014,"Rio Colorado, BC.",  2.286 ,  2.286 ,"  7,5 ",  17.145 ,  46.695 ,  800.588.690 
,,037,"Altar Pitiquito, Son.",  9.458 ,  9.458 ,"  10,8 ",  102.430 ,  33.403 ,  3.421.531.392 
,,041,"Rio Yaqui, Son.",  1.725 ,  1.725 ,"  10,6 ",  18.238 ,  38.018 ,  693.380.568 
,,051,"Costa De Hermosillo, Son.",  442 ,  442 ,"  9,0 ",  3.978 ,  35.250 ,  140.224.500 
,,066,"Sto. Domingo, Bcs.",  7.399 ,  7.399 ,"  7,5 ",  55.493 ,  78.850 ,  4.375.583.625 
,,076,"Valle Del Carrizo, Sin.",  417 ,  417 ,"  13,2 ",  5.498 ,  45.000 ,  247.418.820 
Total Espárrago,,,,  26.135 ,  26.135 ,"  8,6 ",  223.480 ,  48.027 ,  10.733.007.969 
Espinaca,,014,"Rio Colorado, BC.",  739 ,  739 ,"  18,5 ",  13.636 ,  8.678 ,  118.334.076 
Total Espinaca,,,,  739 ,  739 ,"  18,5 ",  13.636 ,  8.678 ,  118.334.076 
Estrella (Zacate),Verde,035,"La Antigua, Ver.",  1.188 ,  1.188 ,"  40,0 ",  47.511 ,  758 ,  36.026.640 
,,046,"Cacahoatan, Chis.",  1.137 ,  1.137 ,"  14,7 ",  16.697 ,  4.790 ,  79.972.631 
,,048,"Ticul, Yuc.",  199 ,  199 ,"  17,2 ",  3.417 ,  754 ,  2.576.637 
,,053,"Edo. De Colima, Col.",  1.586 ,  1.586 ,"  23,2 ",  36.861 ,  515 ,  18.993.330 
,,057,"Amuco Cutzamala, Gro.",  992 ,  992 ,"  47,7 ",  47.359 ,  650 ,  30.783.643 
,,082,"Rio Blanco, Ver.",  4.089 ,  4.089 ,"  23,3 ",  95.465 ,  942 ,  89.911.000 
,,092A,"Rio Panuco, Unidad Animas.",  11.873 ,  11.873 ,"  40,4 ",  479.710 ,  1.332 ,  638.976.200 
,,092B,"Rio Panuco, Unidad Chicayán.",  11.340 ,  11.340 ,"  19,2 ",  217.887 ,  115 ,  25.057.005 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  9.201 ,  9.201 ,"  24,5 ",  225.309 ,  1.200 ,  270.370.800 
,,093,"Tomatlan, Jal.",  6.800 ,  6.800 ,"  51,1 ",  347.650 ,  2.140 ,  743.969.930 
,,095,"Atoyac, Gro.",  598 ,  598 ,"  30,0 ",  17.928 ,  986 ,  17.674.080 
,,097,"Lazaro Cardenas, Mich.",  9.715 ,  9.715 ,"  33,7 ",  327.851 ,  1.476 ,  483.793.990 
,,098,"Jose Maria Morelos, Mich.",  145 ,  145 ,"  40,0 ",  5.800 ,  1.100 ,  6.380.000 
,,101,"Cuxtepeques, Chis.",  3.340 ,  3.340 ,"  58,0 ",  193.720 ,  1.000 ,  193.720.000 
,,104,"Cuajinicuilapa, Gro.",  4.071 ,  4.071 ,"  19,7 ",  80.077 ,  1.500 ,  120.116.025 
,,105,"Nexpa, Gro.",  1.979 ,  1.979 ,"  18,0 ",  35.637 ,  1.013 ,  36.090.260 
,,107,"San Gregorio, Chis.",  1.080 ,  1.080 ,"  55,0 ",  59.400 ,  980 ,  58.212.000 
,,110,"Rio Verde-Progreso, Oax.",  362 ,  362 ,"  35,0 ",  12.670 ,  550 ,  6.968.500 
Total Estrella (Zacate),,,,  69.693 ,  69.693 ,"  32,3 ",  2.250.948 ,  1.270 ,  2.859.592.669 
Estropajo,,068,"Tepecoacuilco, Gro.",  9 ,  9 ,"  1,5 ",  13 ,  34.911 ,  457.335 
Total Estropajo,,,,  9 ,  9 ,"  1,5 ",  13 ,  34.911 ,  457.335 
Forrajes Asociados,Verde,045,"Tuxpan, Mich.",  15 ,  15 ,"  50,0 ",  750 ,  3.500 ,  2.625.000 
,,051,"Costa De Hermosillo, Son.",  90 ,  90 ,"  46,9 ",  4.222 ,  981 ,  4.141.684 
,,074,"Mocorito, Sin.",  14 ,  14 ,"  33,9 ",  475 ,  900 ,  427.500 
,,098,"Jose Maria Morelos, Mich.",  100 ,  100 ,"  40,0 ",  4.000 ,  1.200 ,  4.800.000 
,,108,"Elota-Piaxtla, Sin.",  15 ,  15 ,"  16,5 ",  248 ,  550 ,  136.125 
Total Forrajes Asociados,,,,  234 ,  234 ,"  41,4 ",  9.694 ,  1.251 ,  12.130.309 
Frambuesa,,061,"Zamora, Mich.",  241 ,  241 ,"  18,3 ",  4.416 ,  36.287 ,  160.231.558 
Total Frambuesa,,,,  241 ,  241 ,"  18,3 ",  4.416 ,  36.287 ,  160.231.558 
Fresa,,001,"Pabellón, Ags.",  67 ,  67 ,"  51,4 ",  3.444 ,  17.750 ,  61.139.343 
,,011,"Alto Rio Lerma, Gto.",  540 ,  373 ,"  31,3 ",  11.674 ,  11.564 ,  135.003.347 
,,024,"Cienega De Chapala, Mich.",  64 ,  64 ,"  45,0 ",  2.870 ,  13.000 ,  37.305.450 
,,045,"Tuxpan, Mich.",  1.525 ,  1.525 ,"  27,0 ",  41.175 ,  6.000 ,  247.050.000 
,,061,"Zamora, Mich.",  1.576 ,  1.576 ,"  44,7 ",  70.461 ,  20.757 ,  1.462.556.519 
,,087,"Rosario Mezquite, Mich.",  172 ,  172 ,"  20,6 ",  3.543 ,  10.500 ,  37.203.600 
Total Fresa,,,,  3.944 ,  3.777 ,"  35,3 ",  133.167 ,  14.870 ,  1.980.258.258 
Frijol (Alubia),,001,"Pabellón, Ags.",  66 ,  66 ,"  3,0 ",  197 ,  9.224 ,  1.820.009 
,,003,"Tula, Hgo.",  1.486 ,  1.486 ,"  3,3 ",  4.973 ,  17.000 ,  84.541.000 
,,008,"Meztitlan, Hgo.",  589 ,  589 ,"  3,4 ",  2.004 ,  17.100 ,  34.274.830 
,,010,"Culiacan-Humaya, Sin.",  11.551 ,  11.551 ,"  2,1 ",  24.256 ,  22.000 ,  533.633.100 
,,011,"Alto Rio Lerma, Gto.",  238 ,  238 ,"  2,6 ",  613 ,  20.277 ,  12.420.834 
,,016,"Edo.De Morelos, Mor.",  72 ,  72 ,"  3,5 ",  252 ,  35.000 ,  8.820.000 
,,017,"Region Lagunera,Coah.Dgo.",  14 ,  14 ,"  2,6 ",  38 ,  23.686 ,  890.600 
,,020,"Morelia, Mich.",  60 ,  60 ,"  1,0 ",  60 ,  12.000 ,  720.000 
,,023,"San Juan Del Rio, Qro.",  12 ,  12 ,"  1,8 ",  21 ,  18.383 ,  390.433 
,,024,"Cienega De Chapala, Mich.",  44 ,  44 ,"  2,0 ",  88 ,  10.600 ,  929.832 
,,030,"Valsequillo, Pue.",  447 ,  447 ,"  0,9 ",  419 ,  18.000 ,  7.546.122 
,,034,"Edo. De Zacatecas, Zac.",  341 ,  340 ,"  1,8 ",  623 ,  18.000 ,  11.221.290 
,,035,"La Antigua, Ver.",  2 ,  2 ,"  1,2 ",  3 ,  21.000 ,  56.700 
,,037,"Altar Pitiquito, Son.",  3 ,  3 ,"  1,8 ",  5 ,  18.300 ,  96.624 
,,038,"Rio Mayo, Son.",  4.584 ,  4.584 ,"  2,1 ",  9.687 ,  13.915 ,  134.790.531 
,,041,"Rio Yaqui, Son.",  2.837 ,  2.837 ,"  2,2 ",  6.213 ,  15.114 ,  93.902.615 
,,042,"Buenaventura, Chih.",  322 ,  322 ,"  1,4 ",  451 ,  20.000 ,  9.018.800 
,,043,"Edo. De Nayarit, Nay.",  7.065 ,  7.065 ,"  1,3 ",  8.975 ,  15.855 ,  142.304.206 
,,045,"Tuxpan, Mich.",  77 ,  77 ,"  1,6 ",  122 ,  12.000 ,  1.467.600 
,,051,"Costa De Hermosillo, Son.",  800 ,  800 ,"  2,2 ",  1.760 ,  18.500 ,  32.560.000 
,,052,"Edo. De Durango, Dgo.",  1.116 ,  1.109 ,"  1,3 ",  1.409 ,  17.478 ,  24.622.463 
,,056,"Atoyac-Zahuapan, Tlax.",  187 ,  187 ,"  1,6 ",  303 ,  13.500 ,  4.093.200 
,,061,"Zamora, Mich.",  15 ,  15 ,"  1,6 ",  24 ,  12.885 ,  307.385 
,,063,"Guasave, Sin.",  15.733 ,  15.733 ,"  1,7 ",  27.319 ,  18.000 ,  491.745.848 
,,066,"Sto. Domingo, Bcs.",  1.025 ,  1.025 ,"  2,0 ",  2.050 ,  26.555 ,  54.438.000 
,,074,"Mocorito, Sin.",  4.026 ,  4.026 ,"  1,3 ",  5.393 ,  22.000 ,  118.650.180 
,,075,"Rio Fuerte, Sin.",  34.141 ,  34.141 ,"  2,2 ",  75.003 ,  20.182 ,  1.513.700.152 
,,076,"Valle Del Carrizo, Sin.",  403 ,  403 ,"  1,8 ",  725 ,  21.650 ,  15.699.454 
,,084,"Guaymas, Son.",  25 ,  25 ,"  1,3 ",  33 ,  16.111 ,  523.600 
,,085,"La Begoña, Gto.",  113 ,  113 ,"  2,0 ",  224 ,  25.691 ,  5.765.140 
,,089,"El Carmen, Chih.",  257 ,  257 ,"  1,9 ",  484 ,  28.000 ,  13.552.000 
,,090,"Bajo Rio Conchos, Chih.",  10 ,  10 ,"  2,0 ",  20 ,  12.500 ,  250.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  718 ,  564 ,"  0,9 ",  531 ,  14.500 ,  7.700.225 
,,095,"Atoyac, Gro.",  9 ,  9 ,"  0,9 ",  8 ,  13.254 ,  110.340 
,,097,"Lazaro Cardenas, Mich.",  4 ,  4 ,"  1,0 ",  4 ,  16.714 ,  58.500 
,,100,"Alfajayucan, Hgo.",  387 ,  387 ,"  1,8 ",  697 ,  11.005 ,  7.670.320 
,,101,"Cuxtepeques, Chis.",  260 ,  260 ,"  1,5 ",  390 ,  19.200 ,  7.488.000 
,,105,"Nexpa, Gro.",  2 ,  2 ,"  1,0 ",  2 ,  14.500 ,  21.750 
,,108,"Elota-Piaxtla, Sin.",  45 ,  45 ,"  1,6 ",  72 ,  8.000 ,  575.104 
,,109,"Río San Lorenzo, Sin.",  911 ,  911 ,"  1,9 ",  1.694 ,  19.442 ,  32.943.962 
,,111,"Baluarte-Presidio, Sin.",  300 ,  300 ,"  3,0 ",  900 ,  21.000 ,  18.900.000 
,,112,"Ajacuba, Hgo.",  21 ,  21 ,"  3,0 ",  63 ,  17.000 ,  1.071.000 
Total Frijol (Alubia),,,,  90.318 ,  90.154 ,"  2,0 ",  178.109 ,  19.265 ,  3.431.291.750 
Frijol Asociado,,011,"Alto Rio Lerma, Gto.",  710 ,  710 ,"  2,1 ",  1.487 ,  21.942 ,  32.629.023 
,,048,"Ticul, Yuc.",  4 ,  2 ,"  3,2 ",  6 ,  4.691 ,  28.334 
,,049,"Rio Verde, S.L.P.",  20 ,  20 ,"  1,2 ",  24 ,  16.000 ,  384.000 
,,085,"La Begoña, Gto.",  318 ,  318 ,"  2,0 ",  641 ,  25.620 ,  16.417.044 
,,092A,"Rio Panuco, Unidad Animas.",  14 ,  -   ,  -   ,  -   ,  -   ,  -   
Total Frijol Asociado,,,,  1.066 ,  1.050 ,"  2,1 ",  2.158 ,  22.919 ,  49.458.401 
Frutales Asociados,,008,"Meztitlan, Hgo.",  13 ,  13 ,"  13,2 ",  169 ,  40.005 ,  6.759.245 
,,019,"Tehuantepec, Oax.",  541 ,  541 ,"  18,0 ",  9.742 ,  1.350 ,  13.155.038 
,,023,"San Juan Del Rio, Qro.",  9 ,  9 ,"  3,3 ",  29 ,  15.000 ,  435.600 
,,044,"Jilotepec, Mex.",  15 ,  15 ,"  4,5 ",  68 ,  9.500 ,  641.250 
,,045,"Tuxpan, Mich.",  221 ,  221 ,"  13,5 ",  2.984 ,  2.720 ,  8.115.120 
,,053,"Edo. De Colima, Col.",  137 ,  137 ,"  35,2 ",  4.825 ,  5.448 ,  26.285.000 
,,074,"Mocorito, Sin.",  97 ,  97 ,"  32,7 ",  3.172 ,  4.400 ,  13.955.876 
,,075,"Rio Fuerte, Sin.",  2.363 ,  2.363 ,"  25,0 ",  59.063 ,  9.000 ,  531.566.543 
,,098,"Jose Maria Morelos, Mich.",  30 ,  30 ,"  10,0 ",  300 ,  1.100 ,  330.000 
,,100,"Alfajayucan, Hgo.",  340 ,  340 ,"  4,1 ",  1.384 ,  30.005 ,  41.527.000 
Total Frutales Asociados,,,,  3.766 ,  3.766 ,"  21,7 ",  81.734 ,  7.864 ,  642.770.671 
Garbanzo,,010,"Culiacan-Humaya, Sin.",  2.358 ,  2.358 ,"  2,3 ",  5.358 ,  13.000 ,  69.658.680 
,,011,"Alto Rio Lerma, Gto.",  531 ,  531 ,"  4,2 ",  2.225 ,  6.701 ,  14.910.458 
,,013,"Edo. De Jalisco, Jal.",  69 ,  69 ,"  3,1 ",  217 ,  3.849 ,  834.174 
,,018,"Colonias Yaquis, Son.",  111 ,  111 ,"  2,4 ",  267 ,  13.607 ,  3.638.725 
,,020,"Morelia, Mich.",  160 ,  160 ,"  4,0 ",  640 ,  10.000 ,  6.400.000 
,,024,"Cienega De Chapala, Mich.",  66 ,  66 ,"  4,2 ",  276 ,  16.120 ,  4.451.538 
,,038,"Rio Mayo, Son.",  392 ,  392 ,"  2,0 ",  776 ,  14.043 ,  10.895.166 
,,041,"Rio Yaqui, Son.",  630 ,  630 ,"  2,4 ",  1.487 ,  16.320 ,  24.274.590 
,,051,"Costa De Hermosillo, Son.",  7.900 ,  7.900 ,"  2,4 ",  18.802 ,  16.746 ,  314.849.079 
,,061,"Zamora, Mich.",  28 ,  28 ,"  1,9 ",  52 ,  11.362 ,  593.767 
,,063,"Guasave, Sin.",  6.650 ,  6.650 ,"  2,4 ",  15.655 ,  12.000 ,  187.855.472 
,,066,"Sto. Domingo, Bcs.",  1.371 ,  1.371 ,"  2,0 ",  2.742 ,  26.000 ,  71.292.000 
,,074,"Mocorito, Sin.",  3.421 ,  3.421 ,"  1,4 ",  4.930 ,  12.000 ,  59.160.600 
,,075,"Rio Fuerte, Sin.",  763 ,  763 ,"  3,1 ",  2.396 ,  10.771 ,  25.802.250 
,,085,"La Begoña, Gto.",  13 ,  13 ,"  2,1 ",  27 ,  19.462 ,  520.600 
Total Garbanzo,,,,  24.462 ,  24.462 ,"  2,3 ",  55.850 ,  14.237 ,  795.137.099 
Girasol,,025,"Bajo Rio Bravo, Tamps.",  50 ,  50 ,"  1,5 ",  75 ,  7.800 ,  585.000 
,,038,"Rio Mayo, Son.",  337 ,  337 ,"  1,9 ",  647 ,  8.107 ,  5.245.826 
,,066,"Sto. Domingo, Bcs.",  33 ,  33 ,"  2,5 ",  83 ,  8.047 ,  663.900 
Total Girasol,,,,  420 ,  420 ,"  1,9 ",  805 ,  8.072 ,  6.494.726 
Gladiola,,045,"Tuxpan, Mich.",  98 ,  98 ,"  7,0 ",  686 ,  14.832 ,  10.174.500 
Total Gladiola,,,,  98 ,  98 ,"  7,0 ",  686 ,  14.832 ,  10.174.500 
Granado,,008,"Meztitlan, Hgo.",  15 ,  15 ,"  8,8 ",  128 ,  26.880 ,  3.429.888 
,,038,"Rio Mayo, Son.",  15 ,  15 ,"  20,5 ",  308 ,  3.777 ,  1.161.428 
,,085,"La Begoña, Gto.",  1 ,  1 ,"  1,9 ",  1 ,  29.800 ,  42.465 
Total Granado,,,,  30 ,  30 ,"  14,4 ",  437 ,  10.615 ,  4.633.781 
Guaje Forrajero,,016,"Edo.De Morelos, Mor.",  19 ,  19 ,"  11,0 ",  209 ,  4.000 ,  836.000 
Total Guaje Forrajero,,,,  19 ,  19 ,"  11,0 ",  209 ,  4.000 ,  836.000 
Guanábano,,053,"Edo. De Colima, Col.",  119 ,  119 ,"  12,9 ",  1.539 ,  7.342 ,  11.295.800 
Total Guanábano,,,,  119 ,  119 ,"  12,9 ",  1.539 ,  7.342 ,  11.295.800 
Guayabo,,034,"Edo. De Zacatecas, Zac.",  314 ,  314 ,"  11,5 ",  3.610 ,  4.000 ,  14.441.032 
,,045,"Tuxpan, Mich.",  2.124 ,  2.124 ,"  21,0 ",  44.604 ,  5.800 ,  258.703.200 
Total Guayabo,,,,  2.438 ,  2.438 ,"  19,8 ",  48.214 ,  5.665 ,  273.144.232 
Haba,,003,"Tula, Hgo.",  41 ,  41 ,"  9,0 ",  369 ,  8.024 ,  2.961.000 
,,045,"Tuxpan, Mich.",  356 ,  356 ,"  5,0 ",  1.780 ,  3.000 ,  5.340.000 
,,056,"Atoyac-Zahuapan, Tlax.",  369 ,  369 ,"  4,8 ",  1.780 ,  2.272 ,  4.045.436 
,,100,"Alfajayucan, Hgo.",  43 ,  43 ,"  4,2 ",  181 ,  9.598 ,  1.732.749 
Total Haba,,,,  809 ,  809 ,"  5,1 ",  4.110 ,  3.426 ,  14.079.185 
Higuerilla,,051,"Costa De Hermosillo, Son.",  1.400 ,  1.400 ,"  4,9 ",  6.832 ,  5.205 ,  35.559.330 
Total Higuerilla,,,,  1.400 ,  1.400 ,"  4,9 ",  6.832 ,  5.205 ,  35.559.330 
Jícama (Nabo mexicano),,011,"Alto Rio Lerma, Gto.",  16 ,  16 ,"  35,0 ",  564 ,  6.000 ,  3.381.000 
,,016,"Edo.De Morelos, Mor.",  400 ,  400 ,"  31,4 ",  12.542 ,  7.500 ,  94.065.000 
,,043,"Edo. De Nayarit, Nay.",  1.228 ,  1.228 ,"  44,7 ",  54.936 ,  1.797 ,  98.744.832 
,,066,"Sto. Domingo, Bcs.",  17 ,  17 ,"  29,8 ",  506 ,  2.817 ,  1.425.200 
,,068,"Tepecoacuilco, Gro.",  98 ,  98 ,"  14,1 ",  1.382 ,  1.960 ,  2.708.328 
,,085,"La Begoña, Gto.",  261 ,  261 ,"  24,1 ",  6.290 ,  3.889 ,  24.460.068 
Total Jícama (Nabo mexicano),,,,  2.021 ,  2.021 ,"  37,7 ",  76.219 ,  2.949 ,  224.784.428 
Jitomate (tomate rojo),,010,"Culiacan-Humaya, Sin.",  4.570 ,  4.570 ,"  97,4 ",  445.219 ,  10.539 ,  4.691.981.998 
,,016,"Edo.De Morelos, Mor.",  211 ,  211 ,"  35,0 ",  7.385 ,  12.000 ,  88.620.000 
,,017,"Region Lagunera,Coah.Dgo.",  281 ,  281 ,"  31,1 ",  8.752 ,  3.362 ,  29.424.780 
,,024,"Cienega De Chapala, Mich.",  282 ,  282 ,"  75,0 ",  21.153 ,  3.533 ,  74.733.549 
,,034,"Edo. De Zacatecas, Zac.",  79 ,  79 ,"  45,3 ",  3.561 ,  3.207 ,  11.421.457 
,,035,"La Antigua, Ver.",  2 ,  2 ,"  30,0 ",  63 ,  9.000 ,  567.000 
,,038,"Rio Mayo, Son.",  25 ,  25 ,"  28,9 ",  717 ,  7.439 ,  5.335.370 
,,041,"Rio Yaqui, Son.",  610 ,  610 ,"  72,0 ",  43.895 ,  6.792 ,  298.133.482 
,,043,"Edo. De Nayarit, Nay.",  51 ,  51 ,"  30,1 ",  1.535 ,  8.414 ,  12.915.500 
,,045,"Tuxpan, Mich.",  77 ,  77 ,"  21,5 ",  1.657 ,  6.000 ,  9.939.000 
,,048,"Ticul, Yuc.",  6 ,  4 ,"  20,8 ",  74 ,  8.849 ,  655.326 
,,049,"Rio Verde, S.L.P.",  40 ,  40 ,"  14,0 ",  560 ,  12.000 ,  6.720.000 
,,053,"Edo. De Colima, Col.",  6 ,  6 ,"  55,0 ",  330 ,  4.000 ,  1.320.000 
,,061,"Zamora, Mich.",  45 ,  45 ,"  34,0 ",  1.544 ,  7.478 ,  11.544.424 
,,063,"Guasave, Sin.",  670 ,  670 ,"  64,0 ",  42.843 ,  11.750 ,  503.401.138 
,,066,"Sto. Domingo, Bcs.",  269 ,  269 ,"  55,8 ",  15.021 ,  12.675 ,  190.395.900 
,,074,"Mocorito, Sin.",  6 ,  6 ,"  45,3 ",  272 ,  5.400 ,  1.468.692 
,,075,"Rio Fuerte, Sin.",  2.570 ,  2.570 ,"  66,6 ",  171.062 ,  5.148 ,  880.692.087 
,,084,"Guaymas, Son.",  364 ,  364 ,"  35,8 ",  13.010 ,  6.526 ,  84.906.721 
,,085,"La Begoña, Gto.",  11 ,  11 ,"  17,5 ",  192 ,  15.625 ,  3.000.000 
,,087,"Rosario Mezquite, Mich.",  253 ,  253 ,"  63,2 ",  15.980 ,  11.300 ,  180.574.000 
,,092A,"Rio Panuco, Unidad Animas.",  57 ,  57 ,"  40,8 ",  2.325 ,  6.716 ,  15.615.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  122 ,  122 ,"  34,3 ",  4.190 ,  4.408 ,  18.470.000 
,,094,"Jalisco Sur, Jal.",  14 ,  14 ,"  55,0 ",  770 ,  6.250 ,  4.812.500 
,,097,"Lazaro Cardenas, Mich.",  505 ,  505 ,"  58,3 ",  29.409 ,  4.894 ,  143.936.250 
,,100,"Alfajayucan, Hgo.",  6 ,  6 ,"  30,0 ",  180 ,  3.000 ,  540.000 
,,108,"Elota-Piaxtla, Sin.",  1.279 ,  1.279 ,"  49,0 ",  62.693 ,  3.350 ,  210.020.076 
,,109,"Río San Lorenzo, Sin.",  84 ,  84 ,"  60,4 ",  5.073 ,  10.686 ,  54.207.412 
,,111,"Baluarte-Presidio, Sin.",  100 ,  100 ,"  69,5 ",  6.950 ,  9.020 ,  62.686.474 
Total Jitomate (tomate rojo),,,,  12.594 ,  12.592 ,"  72,0 ",  906.413 ,  8.383 ,  7.598.038.134 
Jitomate invernadero,,008,"Meztitlan, Hgo.",  19 ,  19 ,"  132,0 ",  2.455 ,  10.385 ,  25.496.024 
,,033,"Edo. De Mexico, Mex.",  11 ,  11 ,"  350,0 ",  3.955 ,  5.800 ,  22.939.000 
,,044,"Jilotepec, Mex.",  4 ,  4 ,"  330,0 ",  1.353 ,  5.500 ,  7.441.500 
,,073,"La Concepcion, Mex.",  1 ,  1 ,"  360,0 ",  360 ,  3.900 ,  1.404.000 
,,088,"Chiconautla, Mex.",  2 ,  2 ,"  380,0 ",  760 ,  3.800 ,  2.888.000 
,,096,"Arroyozarco, Mex.",  6 ,  6 ,"  350,0 ",  2.100 ,  5.500 ,  11.550.000 
Total Jitomate invernadero,,,,  43 ,  43 ,"  255,4 ",  10.983 ,  6.530 ,  71.718.524 
Klein Grass (Zacate),Verde,006,"Palestina, Coah.",  137 ,  137 ,"  33,0 ",  4.521 ,  570 ,  2.576.970 
Total Klein Grass (Zacate),,,,  137 ,  137 ,"  33,0 ",  4.521 ,  570 ,  2.576.970 
Lechuga,,011,"Alto Rio Lerma, Gto.",  1.441 ,  1.441 ,"  23,3 ",  33.566 ,  6.329 ,  212.452.644 
,,014,"Rio Colorado, BC.",  1.875 ,  1.875 ,"  20,1 ",  37.594 ,  10.105 ,  379.884.844 
,,041,"Rio Yaqui, Son.",  275 ,  275 ,"  28,0 ",  7.700 ,  7.694 ,  59.243.800 
,,052,"Edo. De Durango, Dgo.",  29 ,  29 ,"  19,3 ",  564 ,  6.644 ,  3.744.620 
,,085,"La Begoña, Gto.",  50 ,  50 ,"  22,7 ",  1.126 ,  3.084 ,  3.470.650 
Total Lechuga,,,,  3.670 ,  3.670 ,"  21,9 ",  80.549 ,  8.179 ,  658.796.558 
Lima,,034,"Edo. De Zacatecas, Zac.",  15 ,  15 ,"  1,8 ",  26 ,  4.500 ,  118.125 
,,097,"Lazaro Cardenas, Mich.",  157 ,  157 ,"  12,9 ",  2.020 ,  4.957 ,  10.014.000 
Total Lima,,,,  172 ,  172 ,"  11,9 ",  2.046 ,  4.952 ,  10.132.125 
Limón,,013,"Edo. De Jalisco, Jal.",  61 ,  61 ,"  18,2 ",  1.104 ,  3.379 ,  3.730.341 
,,014,"Rio Colorado, BC.",  30 ,  30 ,"  11,4 ",  341 ,  6.236 ,  2.128.998 
,,016,"Edo.De Morelos, Mor.",  127 ,  127 ,"  17,0 ",  2.159 ,  7.000 ,  15.113.000 
,,019,"Tehuantepec, Oax.",  226 ,  226 ,"  7,2 ",  1.627 ,  10.000 ,  16.272.000 
,,029,"Xicotencatl, Tamps.",  708 ,  604 ,"  24,4 ",  14.713 ,  2.684 ,  39.490.873 
,,034,"Edo. De Zacatecas, Zac.",  8 ,  -   ,  -   ,  -   ,  -   ,  -   
,,035,"La Antigua, Ver.",  208 ,  208 ,"  10,2 ",  2.129 ,  5.935 ,  12.636.300 
,,041,"Rio Yaqui, Son.",  348 ,  348 ,"  16,2 ",  5.649 ,  5.385 ,  30.418.242 
,,043,"Edo. De Nayarit, Nay.",  21 ,  21 ,"  7,9 ",  168 ,  8.493 ,  1.429.785 
,,046,"Cacahoatan, Chis.",  13 ,  13 ,"  25,3 ",  316 ,  8.298 ,  2.624.243 
,,048,"Ticul, Yuc.",  2.400 ,  2.400 ,"  20,5 ",  49.295 ,  3.620 ,  178.449.276 
,,053,"Edo. De Colima, Col.",  4.604 ,  4.604 ,"  21,2 ",  97.803 ,  7.245 ,  708.543.250 
,,057,"Amuco Cutzamala, Gro.",  121 ,  121 ,"  9,2 ",  1.118 ,  1.506 ,  1.684.438 
,,068,"Tepecoacuilco, Gro.",  5 ,  5 ,"  8,1 ",  40 ,  1.610 ,  63.901 
,,075,"Rio Fuerte, Sin.",  364 ,  364 ,"  18,4 ",  6.707 ,  10.521 ,  70.564.159 
,,082,"Rio Blanco, Ver.",  37 ,  37 ,"  17,8 ",  654 ,  4.342 ,  2.839.370 
,,092A,"Rio Panuco, Unidad Animas.",  210 ,  210 ,"  28,6 ",  5.992 ,  10.000 ,  59.922.000 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  39 ,  15 ,"  3,0 ",  45 ,  8.500 ,  382.500 
,,093,"Tomatlan, Jal.",  117 ,  117 ,"  18,3 ",  2.142 ,  7.450 ,  15.959.912 
,,094,"Jalisco Sur, Jal.",  8 ,  8 ,"  20,4 ",  168 ,  7.000 ,  1.173.241 
,,097,"Lazaro Cardenas, Mich.",  31.989 ,  31.989 ,"  20,8 ",  665.541 ,  4.779 ,  3.180.351.000 
,,098,"Jose Maria Morelos, Mich.",  16 ,  16 ,"  11,0 ",  176 ,  2.600 ,  457.600 
