,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
,,,Superficie Física Regada (ha),,,,3.794,2.061,5.855,,,,326,,326,6.181
,,,Volumen Bruto (miles m3),,,,54.060,29.367,83.427,,,,4.647,,4.647,88.074
,,,Lamina Bruta (cm),0,0,0,142,142,142,0,0,0,143,0,143,142
,,2 cultivos,Usuarios,,,,64,14,78,,,,,,,78
,,,Superficie Física Regada (ha),,,,450,214,664,,,,,,,664
,,,Volumen Bruto (miles m3),,,,4.451,1.982,6.432,,,,,,,6.432
,,,Lamina Bruta (cm),0,0,0,99,93,97,0,0,0,0,0,0,97
Suma de Usuarios 009,,,,,,,606,151,757,,,,47,,47,804
Suma de Superficie Física Regada 009,,,,,,,4.244,2.275,6.519,,,,326,,326,6.845
Suma de Volumen Bruto 009,,,,,,,58.510,31.349,89.859,,,,4.647,,4.647,94.506
Lámina Bruta 009,,,,0,0,0,138,138,138,0,0,0,143,0,143,138
010,"Culiacan-Humaya, Sin.",1 cultivo,Usuarios,19.157,5.988,25.145,,,,,,,,,,25.145
,,,Superficie Física Regada (ha),148.933,90.211,239.144,,,,,,,,,,239.144
,,,Volumen Bruto (miles m3),1.204.675,724.405,1.929.080,,,,,,,,,,1.929.080
,,,Lamina Bruta (cm),81,80,81,0,0,0,0,0,0,0,0,0,81
,,2 cultivos,Usuarios,5.034,2.938,7.972,,,,,,,,,,7.972
,,,Superficie Física Regada (ha),38.426,13.454,51.880,,,,,,,,,,51.880
,,,Volumen Bruto (miles m3),308.119,109.159,417.278,,,,,,,,,,417.278
,,,Lamina Bruta (cm),80,81,80,0,0,0,0,0,0,0,0,0,80
Suma de Usuarios 010,,,,24.191,8.926,33.117,,,,,,,,,,33.117
Suma de Superficie Física Regada 010,,,,187.359,103.665,291.024,,,,,,,,,,291.024
Suma de Volumen Bruto 010,,,,1.512.794,833.564,2.346.358,,,,,,,,,,2.346.358
Lámina Bruta 010,,,,81,80,81,0,0,0,0,0,0,0,0,0,81
011,"Alto Rio Lerma, Gto.",1 cultivo,Usuarios,4.892,5.908,10.800,,,,,,,5.831,7.057,12.888,23.688
,,,Superficie Física Regada (ha),25.263,30.570,55.833,,,,,,,19.121,23.138,42.259,98.092
,,,Volumen Bruto (miles m3),129.502,156.709,286.211,,,,,,,152.690,184.769,337.459,623.670
,,,Lamina Bruta (cm),51,51,51,0,0,0,0,0,0,80,80,80,64
,,2 cultivos,Usuarios,158,192,350,,,,,,,2.009,2.431,4.440,4.790
,,,Superficie Física Regada (ha),860,1.041,1.901,,,,,,,10.943,13.241,24.184,26.085
,,,Volumen Bruto (miles m3),3.614,4.373,7.986,,,,,,,38.486,46.571,85.056,93.043
